〇,囗凸旬臼冂曰吕匕勺勹巳凹日向旨口句巴回钯
藤,藜蔴蕹藥薇㿺蓁菱糵鞁蘖蘋蔡蘘葖蔟襲蘩蒹荑
藥,蔴蘖糵襲藜葉蘩蘋菱蕹蓁蔡蔫蕖薇蒹藤葜蒜蕻
藩,薄落蒗薏蓮蔼菹蒼菏蓍薈薘蓄蒲莙藉蓉蘑蒡蕩
藪,菽蔽葜蒙蔹薮薂蔌褻亵敲莪芰蓰衷慈槧翦轰藜
藴,蕴藹莪蕞蔻藐葭袭蒔藪蓰蔃轰蒙菔麪甕藍麓菱
藹,蕴藴蒔葜莪葭轰菇蔃袭莼蓬菱荏莛蒙蔭荮薘砻
藺,蘭蒴荫菌茵蘑蓄薦蒻蕞茜藏躉蓊萌菔葫靥蒇蕎
藻,蕖蔫蕉蒗蕩蔼萍薄蔟蔴菲莽萊莱葉藥蓮𦻐葆蒜
藿,饔莨蔭蕞覆蔷薔藴菱蓰蒈蒌蓉餮萎蘆藤𧕴薂饕
蘅,菰茺蓰惹慈蓋荷菢憝蕊蔌苍蓄務袭蒉芰蓊莉戆
蘆,蓝蕰蓋蘧惹藍蓥蔻苤蓮薏蘑菔羞芰萤蒎蓖葱荙
蘇,蘖群孽棻藓靺糵薪藥蒹蒜萩葉葬綦新葜辭芽蕪
蘋,蒜薦蔴藥蕉蔫藜顢葆萦蕨蕎薇蒙藕荑蔟颟蔡蒉
蘑,菔葳蒇蘼茜藏慧靥藺茵菌蓥蓖蓄英蔽麴莞薦薏
蘖,糵藥蘇蒹檗葉襲葜槧蘩孽鞁蔴蓁藜菱蔡棻蕻薂
蘘,薰襄藥蒙藤藁薹糵蓁菱蕹蘿襲菔蔴蘋慧菓蘸藜
蘧,蓮薘蓬蒎薩豉離蘆菠菔菱莲越袭蕹荙蔟慧蔃葖
蘩,藥蔡蕖蓰蔴葉蘖蔫葆蘋孳蒹夷蕉嫠檠薇萦胬萸
蘭,蒴藺荫薦蓆萌茜茵茼蒻蓊蒇葫菊藏蓄蕎繭萄蘋
蘸,蒔薩蔭菱糵藥蘖薛菔蕖襲藓蓬蕹蔫蔴蘘蘇蓮葭
蘼,蘑葳薂蔽菔蔘蒌蒇英慧藏薮葵蔣蓼蔭菱蔚蒹麩
蘿,蕹襲菱義鑊蘘豉藤臌蓮夔藥鹱鍵菔簾蓬離糵貘
虍,户方尢文广庶疼虏术尤成交彦玄来庐必卢來点
虎,成沘旄虑龙汔尷淰旅恋迄尬亢施戌迤處迩彪沧
虏,成咸瘀坜愜滹惬席坍慨膚怄庐痂庞递倌迤烙浩
虐,違瘥虔逕垣慳虛连痊烴淫進庭逞度垤虏渲痣逭
虑,煀淰旅逻派泺泛逸旄泜旎處遥惚沒渴熘施虎汔
虔,虚虐虛虞垠艰成皮慮處迩虏堤癡浪度桌淏埂塚
處,慮歲虞旅族虑盧齒逕迤逖𢴒邂颯遗巍煑虚龛迩
虚,虛暹遗違慮逯虞還虔浪盧退遑遥逮虑遽處遺𤓓
虛,虚暹違還浪逮退遠遗逯渡選遑虔渥虐遲慳𤓓遥
虜,慮煑鹵盧擺膚處攙儳嵐摸嵬痶攥焕摁攞換换扊
虞,處虚虔虛盧慮逯鹵暹燙遗巖返娱诓逕退違贞扊
號,鼱毓虢鬍飴航餞骁眈兢𩺬餡船鸱銃觖舦餸飽競
虢,號競嬲魏躺毓艙觖貌鴝獭兢髓鸱魂斃徹逶黐礅
虧,翘翡麪鏡勸簕鎗爺赪鎔舻兢舸魈逝翅鎚趟鎊舫
虫,坐生血坚尘史上悭丛土女工竖甴主去由业曳世
虬,拢虮扰蚍蚣龀虹找妣托捻撼尬挽揽据把挘虼抌
虮,拢蚣虬蚝蟋虼蚂釩䖢撼摇抚蜘蚓妩將扺蛞叛揽
虱,冤孔電卺愁厾霓密孢雹窕覽奀冕笕宽盃死盈唇
虹,蛀虬蚯衄釔舡鋌虼蚍蚣紅龀纰虮蛇舭髭紕壑艋
虺,𡲬慝魘潛屉厄魇濫囵翌罡屬屍囫乪麽周匱匮屈
虻,蛇蛀蛄砦坌戋蚍螠蝣站蚣訟蜕虼哉掂鎝扰虬諡
虼,訖纥蚣纰蚯蛇虮紕蚍詛纶虹䞘拢此齕戕龇妩龁
虽,玺星里昱垦县玉呈蟊堅蛋昼蚕墨生筌旻禺璺㚻
虾,摒奸扦柴挈鈈妖好妤銾架擗郄抔抑拆鲆鄭許郯
虿,哥蛋区堇窪歪齑韮蚤區娶砻瓩蔃葺莹噩垩蝨堅
蚀,饿饯饹強饨岱馅馇饴饻馄饭锂甾独强饳馏馋绝
蚁,拔蚊蚨拨数拢蛟披撼袯𢫨擬被挝𢲩蚣鈸摵搣拟
蚂,蛞蟋蚝鲺蚜絡虮紹鲵將蛛蚯紙蜘緞鯭紜鲧蚱觞
蚊,蛟蚁紋蚨蟛挝蝣蚣䖢裴挞斐鈸裝絃舦蛀袋鉸蛴
蚋,妫蚺娴蜎蝸揣蜗蚵綸蚰鲔編蛹蛸觞網姍蝙鑰舸
蚌,蟀蛛蛑螂蚨蜂蛘蟛蜱蚪蟒蛴蝽柴蚝蛞穌鋒蝣孿
蚍,纰虬妣紕虼兆蚣蛇舭虹龀扰虮蚝托蛀此虻姹拢
蚓,𧊅邶扪蚵紉扮邰郯虮將䖢妳蜗缈挡娴蚱奶蜘蚋
蚕,玺委錾婺娶垂壁奎筌蚤番璧隻鐾聖銎香嬖昼掱
蚜,鳀蝦蛭蚂级鳆蟝將鲧鳋設蜓鲺鳈誣纭蜂缀蟋版
蚝,蟋蛞蜢毹艋蚂虮蛛𩺬掹螂毵蛲蜘蚌蚨蝣話妩蚯
蚣,虮虼虬蛄䖢拢蚍蚨蚱蚊戕訟蚁虹蛀蜘蚴蛇战釩
蚤,蛩盂蛋盃歪蝨孟虿蜃玺聖蚕丑堅叾豎詈盈罡玉
蚧,蛴蚱蜘蜥绨妨䖢紡姊蚪鲚舫蚴辮挤訪掳詐螂妗
蚨,蛴蛱蚌蝣蚁蜘掺蟛蜥蚱柴蚊蛛搣牀蛟螂蛑蟋蚝
蚩,尝鲎喾並金堂豈迸蜚峇坌耋進送逄蠱崟雀蝥遙
蚪,螂蟛蚱蚧蚌蜍蛑蛴蜘蜂蝣蚨蛉蛛鲚蜮蚴鲜蟒蝽
蚬,挽娩舰赀蜆帆换掘齒挘虮𧋦粼搣撬娛掬撼揗播
蚯,蛭艇鯭艋鋌蜢蛀蛞鎝綻虼眦結𩵼尴蝣蝰船蛾蚂
蚰,舳蛐蚋妯蚺媚艏蛹蛤鯧緬鮋舶䱽鲉鋯綸船納媸
蚱,蜘姼蚧姊蛴螂蜥掺蚨鄉蛱扮蚪蛞摙掳䖢搣蛉摻
蚴,蜘蜕蜣蝴蛸蚱絨緘蚧蟧蚺蜥娴蛴紡蝣蠄䱽掳蚨
蚵,蝸𧊅蜩蛎蝙栅網掮婀搦婦蚋舸蜗蜎掯搶𢰸綱姍
蚶,蛄蜡蟛蛤蛆蝰螳螆蝴蚱掺姞蚴蚰媸捲蝗蛐蛀蚣
蚺,蛹蝻蛸螃蝴螭螗螨鮪蚋蠄蛐蜎蝸嬌鱅䱽蝾蚰蟧
蛀,蛙蛄虻虹蚯蛇桩崔斐坌拦挫拄蛭蚣鋌姓蛏蟛搓
蛄,蛀蚶站蝣掂蟛鉛蚣蛇姑蛞砦螂結姞蚱蚯虻蛤掺
蛆,組姐紀揾蚶蚯舶捡妲蛄桤給詛尴蛤绐結蛇揎蝗
蛇,虻蛀虼蛄舵蚍砦舭鉈蚯鸵蚣纶虹紕鴕蜕鱿齕舱
蛉,蜍蜘蝓蚱緘蛎蜂蝦蜻蜮螃缄蚪蛴蚧姼綻蛱蚂𧊅
蛊,盞盛盘患篦愚屆悬蠱曳意態盅童惠盤惫重恿盡
蛋,蜃玺蝥蚤昼虿歪耋疍蟊鋈蝨堅理玉惩壆雪蚕蛩
蛎,蝙蠕蝓螃褊蝸龋蚵螈𬺈螞螨𧊅蜻𧌇缒蜘螄編趟
蛏,蜓蛭妊蛙衽挺崔蛀蜢誰蜒鋌纴梃拯蚜捱虹蚯姪
蛐,蛹蚰螗蚺蟾艚蝤螬蠛艨蝴緬螃𧌇蜡螭蠋纏蠊蠅
蛑,蟀蚌蛘蟒蜂蛛蝼蝽蟑蟛蚨蚪螓蜮緯縫蟻螂蛴雠
蛔,摑蝟蜎蝸蜩蝈𢰸榈鐧蠅蠋掴攔暢蚵緡𧌇捅掃蝞
蛘,蛑蟀牂蚌蟒峰嶂嬅婞辈蜂攣蟑嫜鋅榉蝽撵姩衅
蛙,蛀崔蛭蝰蛏蚯螳蟛鲑娃斐銼蜢錢挂鋌蜚𩶘桩蛰
蛛,蚌蟋蜂蝌緞蟀蜮蛱蛞蛑蚝蟠蜘螂穌蝾蚨蝶繙終
蛞,蚝蟋蚂螂艋絡鳤𩺬鯭蜢蛛掹鉻蚯銘鎢鄉尴蟠蜘
蛟,蚊紋絞鲛鮫绞蝰䘒綫袋蚨帔雠絨姣綻蝣纹蚁絃
蛤,給船蚋䱽蚰尴鲐蛹舸蝙蛄蚶舫螗绐蛐乸蝴艙鎗
蛩,蚤歪盃甦瓩豎堅蝨壁螯銎叾蜃螫盔否孟罡蛋殘
蛭,蚯蜓蛏蝰拯蚜蟶蛙姪蝗螳艇蛾桩紐挫鋌綻挃鍟
蛮,銮窒窭産窪屋鑫窸𩬎蜜廷娶突筌医塞惩鏖穿產
蛰,蜚鑑籃蜇璧蠡鋌螽墾鏨蠢鑫甕鑿墼義壟錳壁羞
蛱,蜥蛴嫉蚨蝌蜘槭蝾叛搣摻瓣螓蛛摵蜞牀嫁蜍蚱
蛲,蜣𩺬蝣蜕諸蚝蜿蟪蜢瓣䘆娆螅魷毵蠄砦蜮蟾绕
蛳,螄螃蜎蜻螨蝾蟎鲭蛹蚺蜘鱭蝌蠕鲯螞蜍緘鱅绨
蛴,蜥蜘蝣蛱瓣螂蚧蚨辮鲚蚱誇螃掳绨螨嫉掺蝻摙
蛸,蚺蝴蝸蟧蚋螨蜎蝟𢬿螭蛹蚴擄搣蜘螃撈蜩蚵銷
蛹,蚺螃螭蝙蛐螗蝴蜎蠄蝸蝻蠕蝇緘螨蟾蝟編蠊蚋
蛾,艇蜒䘒瞠皺蜓糶鲮蚯貔鯭鰹蜮蟋鲢粧蝽蝰蜢蛭
蜀,罯詈罰習署晋置罟冒舅豎晉羁国胃罾罩軍罔醫
蜂,蛛蟀蜮螂蚌蛑蜍蠔蟑蛞鳤蜘蟝蜒螓蝾蝰蛱蟋𢲡
蜃,蛋蝥玺蝨蚤暨螫蛩鋈蟊歪蟹雲蜑耋蚕殣蜜虿靈
蜆,蜴蝎蝞螅𧌇蜿蜩蟓蝸𧋦搦蝙娩蚬蛎螞蚵褊皖皰
蜇,蠢甕螽鑑蛰堑踅盉鏨壟鋌籃塹鑫蠡軭砮盫籠捱
蜈,螟蠍蝦螈螺蟓蟝螞娛蝮螋綴綟蟆蝶蟋螅𧋦蜮𧊅
蜉,揉樑綵抒挼栎蟝搡操妤掙採將蚜娱糅螟郯蜾桴
蜊,蝌鰂缴繳豳帙螞縱蟋𧌇瓣绣嬌鳅蜥褓蠄鎢綿橼
蜍,蛉蜘蜮蜂螃蛱緘蛴螄蜻蝓蝦蝾蚱蛳蛎蚪蛛缄蠊
蜎,蝸蛹蝟蛳蝙蜗蜩螞蚋蚺牖蛔蠕蚵𧌇𧊅蛸編螄掃
蜑,鹽蠶驢餾暨鏹貓簦鳁踵篚體鼹鬍鑑融臨籃餲狸
蜒,蜓蛾蜮蜢蟋蝰蜂褫䘆蝶艇蟶蚝䘒蛭蟝螅懿蝣蠖
蜓,蜒蛏蛭蛾蜢疑艇蚜䘒蚯鲢蜂誰蟋蝰蚝蜮鲮艋誕
蜕,蜣蚴蛲蜿説蝣蜘蝴绤諸蛄螠蛇娆姹蟾虻蜷鱿掳
蜗,𧊅蜎蚋蚵蝸娲蜩蝙蜴𧌇婦蝟牖纲蚓姍蝞鲥蛎姗
蜘,蛴蚱蚴蜥绨蛱蜍螂蚧蛉瓣掳蝓蝣螃蚨蛛蝴搣蜮
蜚,蛰鑿璧蠡羞墾籃螫塑鑑義墼蛙壁鉴斐鏨輩鑾鑫
蜜,霆窪宦𩬎翟蛮窒寵簷屋窭甕靂鑫冤医窸竈壓竄
蜞,蟆蝶蝾螓蠔蛱蠍蟥槭蠊蜮蠄蝮檩蝌蟝蠖蠓蟓螺
蜡,蟮蝰蝽蟻婄嬸蛐鳝蝤蟑蠛蠔蟛蝴蝣鳤蚶螗蟾螂
蜢,艋蚝蛞蜒鯭蚯鎝掹蟋蜓懿艇𩺬醬蛾蛲砦蝣螂蜮
蜣,蜕蛲蝣蜿蟪蚴諸蟾蜷蝴蠄蜘瓣螗螭蛴䘆蜮螨辮
蜥,蛴蛱挤蜘掳瓣鄉绨緋蚧嫉綁辮蝌姘絨娇掺蚱誇
蜩,蝸𧌇蝟蝙蜎蚵蝞蜗蛹蜴螭姍蠕蚺蠅蛔網蚋螞綱
蜮,蠔蟾蜂蝣蠛蠊䘆蜒蛛蝽緘蜍蠓螃衊蠄蝾螓螅螂
蜱,蟠螂鱭蝤蝻螗蚌蛹蛞螄蛛蝾蝉蚺觯鳤蠄蝌婢鑣
蜴,蝞蝎蜆𧊅蝙𧌇蜩蜗蝸螞蛎蚵編螅蠅蟓紹娩蠕𧋦
蜷,蜣蟻蝽蝼雠魷纖鱔蟒蝣鱸蜮䱽蟪蛟螠蠟蛲蚴鰭
蜻,螃螨缟纊蟥蝴績螄缔蠊蛳緘蝾蟎蟧绵蠄蛎缡螭
蜾,螺㩧鏍螈蟬擐娛蠋鎳援蝦臊攝撮嘏摄嫘牒操摒
蜿,螅螭蟾䘆蝴蜣擄蜕蝣蝓蜆掳蠄螨蛲蟪蛎蟓蜘蠛
蝇,蠅蟾蛹蠄蝟螭螗蟠蜩蝤蝸蟪蝞𧌇螞蠕蝴娩蚺蛐
蝈,蛔幄蝞鲴艉幗摑蝠悃蠋鯧綑緡蚰撂掴舶蛤艦𧌇
蝉,蜱蟻蝾蜡蟑蟒蟠蟀蛑嬅蝤蟮蝽蛹縛織蝴蟬蠄嫌
蝌,蜊蛱螄橼蛛蜥蝾槭蟋綿鄉蠄蜘蛳蠍鱭帙嶼螞螺
蝎,蟓蜴蝞螅蜆嫒𧌇蝮螋蝙蝦螺缆𧊅蛐蟾媛蝗纜蠅
蝓,蛎缄蜘蛉缒缆螃绣瓣蜻螨蠄掳蜍缴缵缬缤编蠕
蝕,飴锆鉞锶锢钺鏹钻触髫鋯甜駐飯𩜠鈾镅锸飽鑑
蝗,蟶螳蝰蝮蠛擢蛭蠓蠔蟓蚯纏螋蛐螅蝠蜡蜮蟾蠖
蝙,蝸蠕蛎編褊蝠蛹螞螃蜎蜩蝞𧊅𧌇蚵螈蜴螭蠅蝟
蝞,𧌇蜴蝎蜆蝙螞蜩蠅蝟螺𧊅蝸𧋦螅蠕蟓蛐媚螈嫒
蝟,蜩蝸蜎𧌇蠋姍蝇蛔蠅蛹蝙蝞蛸螭蚺螞蜗捅蚵蛐
蝠,蝙緬蠕缅編蠅褊蛐蛹螃魎鲾鲳蠋蛎蛞蟾鱷蝞螈
蝣,蛴螂蜮𩺬蚨蛲蜘瓣搣蟛蜣辦蛄蝽掺蝴蝰摵螃砦
蝤,螗螬蟾艚蟪鰽蜱蛐蝻蠅蜡嬸蠄蟠蝇䘆蟮蚺蝴縮
蝥,螫蛋蟹蜃鋈螯玺鍪鳘堅鑫蟊耋盗鲨癸肇姿蛮娶
蝦,蜈𧊅螈螟蚜蜍緩援蟓螋蛎颛蝮綴蝙蠍綟蠓蜮蠔
蝨,盃歪蚤耍融壹亞蜃萤盔匮銎蛋惡蛩翌盈恧亚匜
蝮,蟓螋蟶蠓蠛蠼蝗螅蠖蟆蠔蠍螳線蝎蝰蝦蜮蜞蜈
蝰,螳蟶蝗蠛蠖蜡蛭蜮蛟蠔蝣螆鏟蠓蚯蝮蛙蜒蛾纏
蝴,螃螭螨蟾蚺蛹蝻蛸蜻蠊蝾蠄蜘螗蛐蝸蝙蟧蝣螂
蝶,蜞蟆蟝蠍螓蛛鲽蝾蜮牒蜒螺蜂蝌蟀蠔蜈蛱糅蝼
蝸,蜩蝙蚵蜎蝟蛹𧌇蛎螭蠕蚋蛸蚺編蜗褊網蝴綱螞
蝻,螃螨蚺嬌螗螭蠄螄蝴螂蠊蛹鱭蠕蝾嫡蜱蟪鳍蝤
蝼,蟻蛑螓纖蜮螳蠖蠟蜷雠螆蝽蟒蝰蛟嵝蛛蟀鯪䘒
蝽,鰆鱔䲠鳝蟻蟮蟑蜡蜮蟒蛑蝣螓緒蟀蟛鯪鳤鯨鱸
蝾,蠊螨螃螄蠄蛱蜞蟥蟎蝴蝻蛳螓蜻蜮蝌蠔螭螂牒
螂,蛴蝣蛞蝻蚌蜘螄蜱蜂螃蚱鳤蛛蚪蜮蝾蝴鄉瓣搣
螃,螨蜻蝴蠊蝻螄蝾螭蠕蛹鳑緘蛎蚺蛳蝙蠄纊蟾鲭
螄,蛳螃蠕鱭蝾蝻蝌蟎螂蜻螈螨鳤鲭鳑绵蠊鲕鳙蛹
螅,蟓蝎蟾䘆蜿蜆蝮蜮蟪蠛蠄蝞蟋蠟蟶𧋦缄蜴缆纜
螆,螳螠蝰蝼蠛蟶蠟蚶蝮蝗蛟蜮蜷蟻纖綫嵫螅蟛蠖
螈,螵蠍螞綟颛蠕褊螄蝦蛎蝙频螟缎螃螺蜈鯁鲠鳜
螋,蝮蟓艘蠓線蟶蠍螺蠖緩艔蝦蠼鳆蝎綟䘒蠛蜈緞
融,更爵要憩銎飄蠶盾聽靥蝨屜碧甦翟躉篚萤跫魇
螓,蟑蠔蟀蠖蜞蝾蛱綽蟆蠓蜮緯蝽蝼蟥蝶蟻缣蠊衊
螗,蟪蝻蠄蝤蛹蟾蠊螭蚺蛐艚䘆螃艏蝴蝇鳍螨鱸蠕
螞,蠕螈蝙𧌇蝞褊蜎蛎蛹編蝸蜊蠅螄蜴蛳鲯螺蝌蠄
螟,蜈螈蟝蝦蠍螵祲糅賴鴣螺嘏颛綴蟆螞糶娛帳蚜
螠,螆螳蝰蜷蜕虻蜣嵫蛙蛇蝣蚶缢蛀蠛雌蜡蛲蟻蟶
螢,瑩營蟹蠻豐鲎鸶蟄勞甾监辔喾鲞鳖触盤銫癸雀
螣,媵膛騰滕臘鯉體謄膙臌髏勝腺塍朘臃腦瞿貓矍
螨,螃螭蠊蜻蝴蝾蝻蠄蚺蟎蟥蛳蟧螄瓣纊蟾缡蠕蛎
螫,螯蝥鑫鍪鳘籃蟹鏊鋈盗蹩蜚婺鬣甦盔羞釜壁蛰
螬,蟾蝤鰽蛐艚蠅螭蠊嬸蠛螗纜牆蝴纏蛹蠔織纊缯
螭,螨蝴蠄蟾螃蛹蠊蝻蚺螗蝸蜿缡蝙蝇蟪纜蜻蠕䘆
螯,螫鳘鲨蟹鳌鍪釜蝥骜瞥髻罄蟄鳖鏊蹩蛩盆番盔
螳,蝰蝗蟶螆蠛蝮蝼蜮蛭螠蛙纖蜡蠔蟻蠓蠖螅蛾蚯
螵,螈缳蠔缜縹蠕蠍繽蟝鳔缏缤缙螟缩螄蠓纈蠊嫖
螺,蜾蟋蠍娛螈蜈蟠蟓蝞蟝緞螋螞蟆蝌蛛𧌇蠟綟蝶
螽,蜇鑑蛰堑盉籃筌鋌簋昼蠢旻蟊塹垂叟袁氬鑫聖
蟀,蛑蚌蟑蛘蜂螓蛛緯蝽蟒蛱蝾鎂螂嶂蚨攣鱭蠔峰
蟄,蟹豐螯鳌鳘鲞昝鳖螫置暨盖耋豎盤磐營謦甓蜚
蟆,蜞蝶蠖蠓蠔螓蝮蠍蟝蟓蠛螵螺幪蠼蜮蠊蝾蜈螋
蟊,昼堅笪蟲玺狸螽叟惩筌垦耋是蛋笡蛰筜堲筐或
蟋,蚝蛞蛛蚂毹螺緞艋畿搣虮蟠蜊蝌蜘繙蜮蜢絡螅
蟎,螨螄蝾螃蟥蠊蜻蝻蛳蝴請蠕螂缟鲭鱭蠄螭蛹蟾
蟑,螓蠔蟀綽蝽鱆緯蟻衊蜂織蜡蛑蟥蜮蟮蝾嫜蟒幛
蟒,蛑蝽蟀蚌蜮蟑蝣蝼蟛蛘蟻蜷裴螓雠螂蜂蝉蛴蜣
蟓,蝮螅蝎螋蠓蠍蠛嫒纜線螺蜈蟾媛蟆纔緩螈蟶綟
蟛,蝣蚨蚌蚪蚊蝽蛄蛑蜡蜮蝰裴螂蟒蛙蚶蚱蛟雠蜂
蟝,蝶螟螵蟆蠍螺螈蜈蠔蚜糅牒鲽蜂蜞螓鳈蜉蜒蝦
蟠,蜱繙螺蛛蟋蠟蛞蠄蝇醬蛐蝤蜮播蛹螗蝾蟪鳤畿
蟥,蠊蜻蝾螨蟎蠔螃螓蜞纈纊諒缟蟑請螵蟬謗螄缜
蟧,螃螨緘蜻蛸蝴蚺絨蜘螭蛳蚴蝾蠊鳑蛎蠄蜮蜍蛹
蟪,螗蠄䘆蟾蝤蠊蝻螭螅蜣嬌巉鳍蠟蠛螨蛐蝾缯蝣
蟬,蠋蝾蠔蜾蟥蜞蠊纈螈螵蟆蟑螄蠓蟝牒螓蟠繹纊
蟮,蟻蝽蜡鱔蟑蝤鳝鰽織嬸鰆幢螬螳缮蝉纏蟒蠔艟
蟲,蟊蠡曼璺晏鏖皇耋狸蛰螽旻籬蠻蠱是隻蜇昼壘
蟶,蝗蝮蝰螳蠛擢螋蛭蠖蠓蟓螅蠔撜蜒蠼螆糴蜮纏
蟹,鳘蝥螯蟄置螫營螢暨鳖癸瑩鲨瞥鸶甓蜃耋髻豎
蟻,蟮蝽蝼蜡蟑蠛螓蜷織纖蠖纏鱔蠔衊蝉蟪蝤幢蝰
蟾,螭䘆蠄蝴螬蠅螅螗蠊蟪蠛蝤蜮螃蝇蜿螨蛐蛹蠕
蠃,嬴羸贏嘉赢趸芨窕其矗銮莫窆寞夏鸾窸窒萁菟
蠄,螭蟾蟪螨螗蠊蝻蝾螃蛹蚺䘆緘纊蝴蝇繑瓣蜮搣
蠅,蠕蝇蟾𧌇蝞蝠褊蠋蝟蝙螬蛹螞蝤蛐蜩螵蠄螗蝸
蠊,蝾螨螃螭蠄蟾螗蟥蠛衊䘆蠔蝻艨蜻纊蝴蠓蜮蟪
蠋,蝟蠅牖蛐蟬蛹蛔蜎幔蝠蝙蠕𧌇牘蝞觸蜾螈螬螞
蠍,緞螈蜈線缎綜綟蟓续綴緣纔螺繽鳈螵緩蟆繳缴
蠓,蠔蠖蠛蝮蟆蟓艨蠊螋蠼蜮螓媛螵衊蝰鳆缬蟶蝗
蠔,蠓螓蟑蠖蠛蜮蠊蟆螵衊蟥蜂蝮蜞蝾艨蝰蟾螃纊
蠕,蝙褊蛎蠅螞螃螄螈𧌇蝠蝻蛹魎蝸螵螨龋蜎蠊龉
蠖,蠓蠛蠔蟆螓䘒蝰蝮衊蟶艨蠼螋蝼鹱蟻蜮蜞蠊蟓
蠛,蠓蠖蠔蝰蠊蟾蝮蠼蟓蜮衊蟶蛐蝗纏䘆艨蟻螳螅
蠟,蟠畿纖螅蟪鱲蝼蟋螺蠛螆蟓變幾繙緻蜮蜷蟻蝮
蠡,蛰雙摼籬蠱蜚蜇捱鋌鑫壑籃墾筻蠢盎蟲耋皇壟
蠢,甕蜇鬟鏨鑫踅堑籃壟義鑑蛰鼓誓盡裳表槧篆篓
蠱,蠡童耋簋盡羞蛊盛盞簠鑫塑盫鑞磐蟊盤矗鲎籃
蠲,顫顱蜾鏍顴謂韻頻牖蠋餵螞鏢鲠課螈颤鳂顧蟬
蠶,翟靂羅霾飄靈蠹爵颼震鑫憂慶融霆鬚蜑酿籠鬟
蠹,霾蠶靈壺靂矗憂盡竇蠢震躉甕翟鑫臺霆踅慶跫
蠻,瑩螢耋摧娌辔鲎鑾蟲蠱蟊搔蠡璺娥鑞媸搉喾懺
蠼,蝮蠛蠓蠖螋蟓蠔蟆蟶艨縷蝗幔蛐纏蜞螬纜纈蠋
血,业皿盅也丛史怂立忠悠垡怠止沮恿浊总沚忍由
衄,脏𥅾艋鋌胧赃舡鲒胜虹貶贬賦肛魁艇塑魅鉻蚯
衅,袢穌攣孿睐犨摯筚絆榉拏鮮掣挐崃蚌肄挚䁪畔
衊,蠊蠔蠛纏蜮缱䘆蟑蠖罐艟蠓饈螓鑲纊艨蠄鱷蝽
行,衍秆秤积符徐称得移乖稈轹种狰砟衔徑和待科
衍,徐行衕徘銜钙铘衝術种镓砟侨衚御砷衞锜筠徬
衒,参鸯衡犷爹佑佬势奅锗徹铐楚㹢參笼俗矫彷術
術,衚衝锆循彷銜衢错钙锘锚徬衞猞锜镐锫锦衕铕
衔,待符銜街得徇徭律筠衝衞彿衡筏衍飛德徬循种
衕,衙衞衝衚筘衢衡銜御秭衍箱術种筢稠循徊簡簃
街,銜衝待筠術衔徙徒衙衞德符循氇筏径徨徑衍徭
衙,衕衝衞衡衢筢筘銜嵇詹衚秸箬楚循箱秭秀箇御
衚,術衢衕衞御铕镐衝衙衡循锦徬钙钷犏秭铈镩铀
衝,銜衞衙衕衢街術循衡箝衚箍徬轴箱徒秸筢衍筘
衞,衝衕衢衙衡衚徬箱循詹箬籀術楚銜筢箝籍筘御
衡,衢筢衙衞徹徼衝秀衕箱筘詹衚飛衒循術徬銜楚
衢,衡衞衝衚衙衕循徹筢術楚箍銜徬籀箱箝徼籤籍
衣,龛支仅炙玄攴夹扠之余东叔友良攵才卖反您隶
衤,礻宄芄充兀守亢忘恋夯产完交芤克艽歹艾文亦
补,崧祎袆衬夯杖祐圹朴夺衫丼林卟材穷祛彬祁梆
表,喪僰泰乘椠奏亵秦秉夷衰蓰赛黍莜槧𡙁衮褒窭
衩,袄杈系杰卖祟疚禊祆為唤來焘昃灰将枫东疾枧
衫,杉袗彬髟枞祈析祁杪初妤犰弒斯抑尜袄將机柝
衬,祛袪补杖村𧘹材袜丼林袂袆崧扑屮杧抃朴祐衿
衮,奓荄亵蓰踅奏袤苌袞衰夷蒸寮裒荏麥表衷褒葆
衰,喪褻亵衷裒衮踅宸表褒袁裹夜荄袞蹇蔹壶薮莜
衲,婀鸺瘌𢯊怖娴痢帅枘椭她揹帏桷劁笏勍贿枷躺
衷,褻亵裒莜衰苠菽芰藪慈葱衮喪茝蔽踅蔹薮苌恚
衽,柽枉妊梃杠蛏裎框狂桎羝杩羟棰权杻矣契柢扛
衾,隽丧食佐慫奁谷仅從任楚笺夹雋𡙁佤詹处惩修
衿,扲袗杭枋妗袆拧柃树坑岭彬圹梆抗拎挤榆祎圻
袁,吏踅堑惫衰喪悬愈衷疵变惩恝奁寇袞壑恚盉歷
袂,袜袱熬帙㨆𧘹檄撚挟挾嶽嗽扶杖抉热峽栋揦撩
袄,祆衩系将羝祗衫來卖爽挛浆𧘹祭状燊栎夹奖無
袅,狸屋晏昊垕昼胚𧴯戽篆延廷暴睚是旺篁箓娿盱
袆,梆祎林帏郴梯栟柿丼神栉栲非惭桥㨆擠柈挎柞
袈,爺鎝窈鎵毓鼓赫製萩轸赵裝辂餞彰麪势掰趑翡
袋,銥鈹鉸装皴镀钹摵铍敍韨锘蛟狓裝镟斐鎂紋餃
袍,袷袼临祠裼枪抱咆祝祀𠱓桄棍疱桡呛楷桅疮尥
袒,杞担柜杷桓枪桤框右祖札棍屺枢柁柏桕裎皂檻
袖,柚梢帕抽楷梏桷嚮梱枘格捆㨘柏楯皓粕捃槐舳
袗,衫杉彬枞衿栊弒榔祈髟状航枋杭妤掳杪榆抚桁
